Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338851881064,25228,16218,4275
1730338851891769,25187,16225,4276
1730338851914168,25178,16230,4276
1730338851947785,25192,16236,4274
1730338851955762,25210,16241,4276
1730338851981163,25230,16246,4275
1730338852014531,25246,16250,4276
1730338852019901,25258,16254,4276
1730338852047530,25274,16259,4276
1730338852081084,25273,16262,4278
1730338852086546,25269,16265,4279
1730338852114448,25256,16267,4277
1730338852147360,25245,16270,4276
1730338852152677,25243,16271,4275
1730338852181033,25219,16271,4277
1730338852213947,25225,16274,4276
1730338852219709,25255,16273,4276
1730338852247609,25455,16274,4276
1730338852280675,25935,16274,4275
1730338852284821,26717,16272,4276
1730338852314048,27621,16272,4277
1730338852347288,28240,16271,4276
1730338852351381,28349,16271,4276
1730338852381106,28005,16269,4275
1730338852413941,27367,16267,4276
1730338852417959,26637,16266,4276
1730338852447584,26016,16263,4276
1730338852480575,25530,16263,4275
1730338852484624,25241,16259,4277
1730338852513748,25088,16257,4276
1730338852547064,25046,16253,4276
1730338852552617,25111,16250,4277
1730338852580527,25221,16249,4276
1730338852585985,25391,16244,4276
1730338852613739,25528,16241,4277
1730338852648968,25630,16238,4278
1730338852656424,25669,16234,4276
1730338852680462,25647,16231,4277
1730338852713747,25546,16228,4276
1730338852716477,25441,16224,4277
1730338852747125,25360,16220,4277
1730338852780390,25291,16217,4274
1730338852782882,25227,16214,4275
1730338852813630,25193,16209,4275
1730338852847023,25175,16205,4275
1730338852849978,25178,16201,4274
1730338852880283,25175,16197,4275
1730338852914129,25190,16193,4275
1730338852945144,25187,16190,4277
1730338852948625,25202,16185,4276
1730338852980564,25201,16181,4276
1730338852983803,25224,16178,4278
1730338853013649,25226,16173,4276
1730338853046954,25240,16169,4274
1730338853049226,25247,16165,4275
1730338853080312,25255,16161,4276
1730338853113587,25304,16158,4274
1730338853115949,25571,16154,4276
1730338853147009,26125,16150,4277
1730338853180263,26905,16147,4276
1730338853182608,27739,16142,4275
1730338853213643,28247,16139,4276
1730338853246875,28250,16136,4275
1730338853249828,27828,16132,4276
1730338853280225,27195,16129,4274
1730338853283301,26488,16125,4277
1730338853313631,25895,16121,4276
1730338853346827,25424,16116,4274
1730338853349860,25166,16114,4276
1730338853380255,25030,16110,4276
1730338853413490,25034,16107,4275
1730338853416941,25132,16103,4275
1730338853446976,25289,16100,4275
1730338853480142,25449,16097,4275
1730338853484597,25625,16093,4275
1730338853513696,25720,16090,4275
1730338853547151,25779,16087,4276
1730338853550146,25757,16084,4275
1730338853580125,25693,16082,4277
1730338853613477,25606,16079,4275
1730338853618107,25503,16075,4275
1730338853647025,25427,16074,4276
1730338853680242,25360,16071,4276
1730338853683133,25327,16068,4276
1730338853713661,25300,16065,4276
1730338853746895,25293,16064,4277
1730338853752233,25301,16060,4275
1730338853780484,25312,16058,4276
1730338853813539,25331,16055,4277
1730338853816378,25342,16054,4276
1730338853846902,25358,16051,4277
1730338853880037,25364,16049,4277
1730338853882943,25380,16046,4276
1730338853913396,25417,16044,4277
1730338853946660,25631,16043,4275
1730338853950168,26065,16041,4277
1730338853980244,26721,16040,4277
1730338853988883,27370,16037,4277
1730338854013296,27750,16036,4276
1730338854046601,27737,16034,4275
1730338854050469,27386,16033,4275
1730338854079964,26861,16032,4277
1730338854113306,26261,16031,4276
1730338854116350,25762,16029,4275
1730338854146657,25382,16027,4275
1730338854179898,25152,16026,4274
1730338854183940,25046,16024,4277
1730338854213250,25052,16023,4276
1730338854246499,25155,16021,4273
1730338854249804,25280,16021,4275
1730338854279935,25353,16018,4276
1730338854313207,25388,16016,4275
1730338854315672,25303,16014,4276
1730338854346537,25199,16012,4275
1730338854379851,25088,16010,4276
1730338854382394,25012,16008,4277
1730338854413222,24968,16005,4276
1730338854446555,24979,16001,4277
1730338854449161,24993,15998,4278
1730338854479859,24983,15995,4276
1730338854513075,24968,15989,4277
1730338854516165,24965,15986,4277
1730338854546515,24981,15981,4277
1730338854579747,25000,15976,4278
1730338854583648,25033,15970,4276
1730338854613176,25073,15967,4276
1730338854646523,25187,15961,4276
1730338854650298,25395,15955,4275
1730338854679744,25728,15950,4274
1730338854685345,26156,15947,4278
1730338854713090,26543,15942,4276
1730338854746386,26813,15937,4273
1730338854751462,26887,15934,4274
