Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338866627904,26548,32472,4515
1730338866649689,26528,32475,4496
1730338866671545,26556,32474,4497
1730338866693407,26637,32476,4514
1730338866715193,26744,32475,4494
1730338866737252,26893,32474,4497
1730338866758998,26965,32473,4496
1730338866780741,26921,32473,4478
1730338866802788,26790,32475,4515
1730338866824657,26694,32474,4513
1730338866846331,26632,32474,4495
1730338866868270,26609,32473,4497
1730338866890182,26556,32474,4479
1730338866911934,26571,32473,4496
1730338866933809,26526,32473,4496
1730338866955561,26574,32474,4495
1730338866977444,26724,32472,4513
1730338866999414,26794,32472,4495
1730338867021255,26754,32474,4496
1730338867043107,26606,32473,4494
1730338867064912,26482,32473,4495
1730338867086827,26390,32474,4496
1730338867108584,26349,32473,4514
1730338867130558,26409,32473,4495
1730338867152302,26482,32472,4479
1730338867174192,26668,32474,4495
1730338867196072,26741,32473,4514
1730338867217888,26739,32472,4496
1730338867239703,26671,32472,4496
1730338867261513,26586,32473,4495
1730338867283419,26473,32473,4495
1730338867305306,26455,32474,4497
1730338867327153,26484,32475,4479
1730338867348890,26476,32474,4496
1730338867370776,26392,32474,4514
1730338867392669,26347,32472,4497
1730338867414504,26317,32472,4514
1730338867436450,26344,32473,4497
1730338867458224,26327,32473,4478
1730338867480072,26548,32473,4478
1730338867501935,27810,32474,4478
1730338867523814,28262,32470,4513
1730338867545730,27757,32470,4495
1730338867567558,27500,32471,4496
1730338867589307,27139,32474,4496
1730338867611270,26831,32471,4496
1730338867633081,26901,32472,4514
1730338867654987,26860,32471,4496
1730338867676832,26998,32472,4495
1730338867698615,27163,32473,4513
1730338867720481,27341,32474,4478
1730338867742275,27247,32474,4515
1730338867764175,27235,32474,4497
1730338867786111,27378,32474,4515
1730338867807952,27408,32474,4480
1730338867829747,27373,32474,4514
1730338867851617,27183,32473,4496
1730338867873412,27064,32474,4496
1730338867895270,26791,32473,4496
1730338867917059,26601,32474,4496
1730338867938917,26410,32472,4497
1730338867960827,26428,32473,4478
1730338867982545,26648,32473,4495
1730338868004523,26832,32474,4516
1730338868026376,26928,32473,4495
1730338868048231,26911,32472,4497
1730338868070132,26889,32470,4495
1730338868091923,26755,32474,4514
1730338868113696,26624,32472,4515
1730338868135663,26566,32472,4514
1730338868157582,26617,32474,4516
1730338868179312,26725,32473,4514
1730338868201274,26825,32471,4497
1730338868223099,26939,32474,4497
1730338868244835,27047,32472,4495
1730338868266732,27158,32473,4495
1730338868288584,27113,32473,4496
1730338868310349,26927,32473,4515
1730338868332250,26836,32472,4495
1730338868354167,26730,32474,4495
1730338868375918,26673,32473,4495
1730338868397799,26693,32473,4495
1730338868419723,26738,32471,4479
1730338868441520,26705,32474,4496
1730338868463345,26770,32474,4496
1730338868485128,26829,32471,4496
1730338868507103,26915,32473,4497
1730338868528923,26959,32474,4492
1730338868550782,27021,32477,4480
1730338868572661,26950,32473,4514
1730338868594399,26865,32475,4479
1730338868616323,26796,32475,4496
1730338868638100,26867,32476,4495
1730338868659895,26959,32472,4514
1730338868681812,27068,32475,4514
1730338868703747,27062,32474,4514
1730338868725562,27106,32475,4478
1730338868747385,27195,32474,4514
1730338868769281,27120,32474,4515
1730338868791105,27189,32473,4496
1730338868812907,27339,32474,4498
1730338868834787,27570,32474,4496
1730338868856888,27761,32476,4496
1730338868878497,27831,32476,4496
1730338868900362,27579,32475,4496
1730338868922244,27446,32475,4497
1730338868944063,27316,32474,4495
1730338868965932,27178,32474,4497
1730338868987736,26848,32476,4496
1730338869009583,26616,32475,4515
1730338869031379,26528,32475,4514
1730338869053317,26546,32474,4498
1730338869075114,26614,32474,4514
1730338869096952,26622,32475,4479
1730338869118820,26565,32473,4514
1730338869140713,26327,32474,4514
1730338869162472,26120,32475,4479
1730338869184340,25983,32473,4514
1730338869206197,26273,32473,4480
1730338869228018,26419,32474,4496
1730338869249838,26752,32475,4494
1730338869271804,27104,32475,4495
1730338869293624,26505,32474,4497
1730338869315449,26085,32475,4495
1730338869337320,25988,32474,4496
1730338869359079,25995,32475,4479
1730338869380939,26160,32475,4479
1730338869402804,26306,32475,4479
1730338869424610,26428,32475,4479
1730338869446421,26460,32476,4496
1730338869468357,26436,32474,4495
1730338869490192,26392,32476,4496
1730338869512081,26325,32477,4496
1730338869533885,26338,32475,4477
1730338869555762,26364,32475,4496
1730338869577483,26465,32474,4496
1730338869599519,26465,32475,4495
1730338869621247,26519,32475,4514
1730338869643185,26567,32476,4496
1730338869665044,26632,32477,4497
1730338869686826,26615,32474,4515
1730338869708594,26640,32475,4496
1730338869730441,26696,32476,4515
1730338869752264,26703,32475,4496
1730338869774189,26769,32475,4479
